[2024-08-13 19:35:08.668] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.672] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.676] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.680] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.685] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.689] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.693] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.700] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.705] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.709] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.718] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.722] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.729] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.734] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.738] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.747] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.752] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.756] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.762] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.768] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.772] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.776] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.781] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.785] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.789] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.793] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.799] [APP] [debug] x: 5000, y: 0
